url_length,use_https,domain_length,num_subdomains,path_length,use_ip,count_slash,count_dot,count_ampersand,count_at,count_dash,count_equals,count_question,count_semicolon,count_digits,label
45,0,15,1,23,0,4,2,0,0,0,0,0,0,0,0
68,0,19,1,42,0,4,2,0,0,0,0,0,0,0,0
30,0,22,1,1,0,3,2,0,0,0,0,0,0,0,0
50,0,14,1,29,0,4,3,0,0,0,0,0,0,0,0
67,0,19,1,41,0,5,3,0,0,0,0,0,0,3,0
53,1,16,1,29,0,4,2,0,0,0,0,0,0,0,0
78,0,23,1,48,0,3,2,0,0,0,0,0,0,0,0
56,0,17,1,32,0,3,3,0,0,0,0,0,0,2,0
91,0,15,1,69,0,5,3,0,0,0,0,0,0,6,0
56,1,18,1,30,0,4,2,0,0,0,0,0,0,0,0
52,0,18,1,27,0,4,2,0,0,0,0,0,0,1,0
48,1,18,2,22,0,4,3,0,0,0,0,0,0,0,0
73,1,13,1,52,0,3,2,0,0,0,0,0,0,0,0
64,0,28,3,29,0,3,6,0,0,0,0,0,0,5,0
62,0,17,1,38,0,4,3,0,0,0,0,0,0,21,0
49,1,16,1,25,0,4,2,0,0,0,0,0,0,0,0
24,1,15,1,1,0,3,2,0,0,0,0,0,0,0,0
40,1,21,1,11,0,4,2,0,0,0,0,0,0,0,0
34,1,14,1,12,0,4,2,0,0,0,0,0,0,0,0
33,0,14,1,12,0,4,2,0,0,0,0,0,0,0,0
60,0,23,1,30,0,4,2,0,0,0,0,0,0,0,0
34,1,14,1,12,0,5,2,0,0,0,0,0,0,0,0
34,1,16,1,10,0,3,2,0,0,0,0,0,0,0,0
42,1,20,1,14,0,5,2,0,0,0,0,0,0,0,0
36,0,13,1,16,0,4,2,0,0,0,0,0,0,0,0
27,0,16,1,4,0,4,2,0,0,0,0,0,0,0,0
38,1,16,1,14,0,4,2,0,0,0,0,0,0,0,0
68,0,17,0,44,0,7,1,0,0,0,0,0,0,0,0
62,0,18,0,37,0,6,1,0,0,0,0,0,0,0,0
45,1,21,1,16,0,5,2,0,0,0,0,0,0,0,0
76,0,20,1,17,0,4,3,2,0,0,3,1,0,0,0
45,0,14,1,24,0,5,3,0,0,0,0,0,0,8,0
74,0,13,0,54,0,6,1,0,0,0,0,0,0,0,0
59,1,14,0,8,0,3,1,1,0,0,2,1,0,6,0
66,1,18,1,40,0,4,2,0,0,0,0,0,0,0,0
55,1,16,1,31,0,4,2,0,0,0,0,0,0,0,0
67,0,26,1,34,0,3,2,0,0,0,0,0,0,2,0
32,0,21,0,4,0,3,1,0,0,0,0,0,0,0,0
53,0,45,1,1,0,3,2,0,0,0,0,0,0,0,0
57,0,35,1,15,0,4,2,0,0,0,0,0,0,0,0
79,0,21,1,51,0,6,2,0,0,0,0,0,0,0,0
62,1,23,1,31,0,4,3,0,0,0,0,0,0,0,0
76,1,15,1,53,0,4,3,0,0,0,0,0,0,0,0
40,0,17,1,16,0,5,3,0,0,0,0,0,0,0,0
82,0,14,0,61,0,3,1,0,0,0,0,0,0,9,0
33,1,11,0,14,0,3,1,0,0,0,0,0,0,0,0
45,1,16,1,21,0,3,2,0,0,0,0,0,0,0,0
32,0,24,1,1,0,3,2,0,0,0,0,0,0,0,0
59,1,16,1,35,0,4,2,0,0,0,0,0,0,0,0
32,0,24,1,1,0,3,2,0,0,0,0,0,0,0,0
36,0,22,1,7,0,3,2,0,0,0,0,0,0,0,0
49,1,16,1,25,0,4,2,0,0,0,0,0,0,0,0
38,0,17,1,14,0,4,2,0,0,0,0,0,0,0,0
44,0,14,1,23,0,5,3,0,0,0,0,0,0,7,0
18,0,10,0,1,0,3,1,0,0,0,0,0,0,0,0
34,1,16,1,10,0,4,2,0,0,0,0,0,0,0,0
117,1,19,1,90,0,3,3,0,0,0,0,0,0,6,0
48,0,22,1,19,0,5,2,0,0,0,0,0,0,3,0
36,0,16,0,13,0,4,1,0,0,0,0,0,0,0,0
21,0,13,0,1,0,3,1,0,0,0,0,0,0,0,0
32,0,12,0,13,0,4,1,0,0,0,0,0,0,0,0
59,1,15,1,36,0,5,2,0,0,0,0,0,0,2,0
40,1,20,1,12,0,4,2,0,0,0,0,0,0,0,0
61,0,21,1,33,0,5,3,0,0,0,0,0,0,0,0
45,0,18,1,20,0,5,2,0,0,0,0,0,0,0,0
79,0,14,0,58,0,4,1,0,0,0,0,0,0,7,0
71,1,21,1,42,0,5,2,0,0,0,0,0,0,0,0
47,0,22,2,18,0,4,4,0,0,0,0,0,0,3,0
43,1,15,1,6,0,3,2,0,0,0,1,1,0,2,0
61,0,15,1,39,0,5,3,0,0,0,0,0,0,1,0
54,0,14,0,33,0,3,2,0,0,0,0,0,0,0,0
87,0,18,1,62,0,6,3,0,0,0,0,0,0,1,0
53,0,16,1,19,0,4,3,0,0,0,1,1,0,0,0
64,1,19,0,16,0,5,1,0,0,0,1,1,0,3,0
45,0,13,1,25,0,4,2,0,0,0,0,0,0,0,0
27,0,14,1,6,0,4,2,0,0,0,0,0,0,0,0
29,1,11,0,10,0,3,1,0,0,0,0,0,0,0,0
48,1,16,1,24,0,4,2,0,0,0,0,0,0,0,0
38,1,15,1,15,0,4,2,0,0,0,0,0,0,0,0
44,1,12,1,24,0,4,2,0,0,0,0,0,0,0,0
37,0,19,1,11,0,3,2,0,0,0,0,0,0,0,0
35,0,12,1,16,0,4,2,0,0,0,0,0,0,0,0
149,0,18,1,124,0,4,2,0,0,0,0,0,0,39,0
47,1,16,1,23,0,3,3,0,0,0,0,0,0,0,0
43,0,14,1,22,0,5,3,0,0,0,0,0,0,6,0
39,1,16,1,15,0,4,2,0,0,0,0,0,0,0,0
50,1,20,1,22,0,5,3,0,0,0,0,0,0,0,0
76,0,17,1,52,0,6,3,0,0,0,0,0,0,0,0
46,0,23,1,16,0,4,2,0,0,0,0,0,0,0,0
56,0,20,1,29,0,3,3,0,0,0,0,0,0,0,0
43,1,25,1,10,0,4,2,0,0,0,0,0,0,0,0
70,0,24,1,39,0,5,3,0,0,0,0,0,0,0,0
57,0,22,2,28,0,4,4,0,0,0,0,0,0,0,0
39,0,17,1,15,0,3,3,0,0,0,0,0,0,0,0
75,0,24,1,44,0,5,2,0,0,0,0,0,0,0,0
48,1,16,1,24,0,4,2,0,0,0,0,0,0,0,0
67,0,15,1,45,0,5,2,0,0,0,0,0,0,0,0
67,0,28,1,32,0,5,3,0,0,0,0,0,0,0,0
47,1,20,0,19,0,4,2,0,0,0,0,0,0,0,0
52,1,20,1,24,0,4,2,0,0,0,0,0,0,0,0
60,0,28,1,25,0,4,2,0,0,0,0,0,0,0,0
61,0,16,0,13,0,3,2,0,0,0,0,1,0,0,0
29,1,20,1,1,0,3,2,0,0,0,0,0,0,0,0
41,0,18,1,16,0,4,3,0,0,0,0,0,0,0,0
41,0,14,1,20,0,5,3,0,0,0,0,0,0,4,0
55,1,16,1,31,0,4,2,0,0,0,0,0,0,0,0
107,0,16,1,84,0,4,2,0,0,0,0,0,0,0,0
105,0,28,1,70,0,7,2,0,0,0,0,0,0,0,0
60,0,18,1,35,0,4,2,0,0,0,0,0,0,0,0
66,0,18,0,41,0,4,2,0,0,0,0,0,0,0,0
100,0,18,1,75,0,6,2,0,0,0,0,0,0,8,0
87,1,17,1,62,0,5,2,0,0,0,0,0,0,0,0
49,0,23,1,19,0,6,2,0,0,0,0,0,0,8,0
159,0,18,1,134,0,4,3,0,0,0,0,0,0,0,0
102,0,21,1,74,0,7,2,0,0,0,0,0,0,8,0
46,1,16,1,22,0,4,2,0,0,0,0,0,0,0,0
55,0,20,1,28,0,4,3,0,0,0,0,0,0,2,0
49,0,25,1,17,0,3,2,0,0,0,0,0,0,0,0
49,0,18,1,24,0,4,2,0,0,0,0,0,0,0,0
44,1,18,2,18,0,4,3,0,0,0,0,0,0,0,0
70,0,14,1,49,0,4,2,0,0,0,0,0,0,0,0
43,1,15,1,6,0,3,2,0,0,0,1,1,0,3,0
53,0,24,1,22,0,3,3,0,0,0,0,0,0,0,0
93,0,21,1,65,0,5,3,0,0,0,0,0,0,0,0
43,0,14,1,22,0,5,3,0,0,0,0,0,0,6,0
69,0,16,1,46,0,6,2,0,0,0,1,0,0,0,0
51,1,16,1,27,0,4,2,0,0,0,0,0,0,0,0
40,1,13,1,19,0,4,2,0,0,0,0,0,0,0,0
83,1,18,1,57,0,5,2,0,0,0,0,0,0,0,0
55,1,13,1,34,0,5,2,0,0,0,0,0,0,1,0
60,0,35,1,18,0,3,2,0,0,0,0,0,0,1,0
89,1,17,1,64,0,4,3,0,0,0,0,0,0,3,0
85,0,24,1,54,0,4,3,0,0,0,0,0,0,0,0
96,0,26,1,63,0,3,3,0,0,0,0,0,0,0,0
60,0,16,1,37,0,3,3,0,0,0,0,0,0,0,0
45,1,16,1,21,0,4,2,0,0,0,0,0,0,0,0
40,1,13,1,19,0,4,3,0,0,0,0,0,0,0,0
49,1,18,1,23,0,4,2,0,0,0,0,0,0,0,0
43,1,18,2,17,0,4,3,0,0,0,0,0,0,0,0
50,0,12,1,31,0,5,2,0,0,0,0,0,0,0,0
41,1,20,1,13,0,3,3,0,0,0,0,0,0,0,0
62,0,20,1,35,0,5,3,0,0,0,0,0,0,0,0
